Enter name of dump file: f got: fs, but expected |?
thinko got: thinkoes, but expected 
signore got: signores, but expected |?
butterfingers got: butterfingerses, but expected |butterfingers
cop on got: cops on, but expected |?
missed approach got: missed approachs, but expected |es
bildungsroman got: bildungsromen, but expected |s|bildungsromane
mastitis got: mastitises, but expected |mastitides
whole shooting match got: whole shooting matchs, but expected |?
goof-up got: goofs-up, but expected |head=[[goof]]-[[up]]
perse got: perses, but expected |?
pingas got: pingases, but expected |?
meta got: metae, but expected 
20000
fremitus got: fremituses, but expected |?
scary got: scaries, but expected |?
Siamese got: Siamese, but expected 
carbone got: carbones, but expected |?
dude ranch got: dude ranchs, but expected |es
epistaxis got: epistaxises, but expected |epistaxes
proscenium arch got: proscenium archs, but expected |es
modicum got: modicums, but expected |modica
sem got: sems, but expected |?
Angeleno got: Angelenoes, but expected 
forward slash got: forward slashs, but expected |es
pommie wash got: pommie washs, but expected |es
jaspe got: jaspes, but expected |?
maru got: marus, but expected |?
fluoro got: fluoroes, but expected 
osmic acid got: osmic acids, but expected |?
taj got: tajs, but expected |tajes
waterworks got: waterworkses, but expected |waterworks
quebracho got: quebrachoes, but expected 
pelargonic acid got: pelargonic acids, but expected |?
permanganic acid got: permanganic acids, but expected |?
toots got: tootses, but expected |toots
straight flush got: straight flushs, but expected |es
coxa got: coxas, but expected |coxae
flying fox got: flying foxs, but expected |es
afro got: afroes, but expected 
finis got: finises, but expected |?
sente got: sentes, but expected |lisente
missa got: missas, but expected |?
BRS got: BRSs, but expected |?
center punch got: center punchs, but expected |es
olive branch got: olive branchs, but expected |es
SSL got: SSLs, but expected |?
dunno got: dunnoes, but expected 
jack-in-the-box got: jack-in-the-boxs, but expected |jacks-in-boxes|jacks-in-the-boxes|jack-in-the-boxes|jacks-in-the-box
one-off got: some-off, but expected |head=[[one]]-[[off]]
toss-up got: tosses-up, but expected |head=[[toss]]-[[up]]
blue box got: blue boxs, but expected |es
carbon tax got: carbon taxs, but expected |es
Casta got: Castas, but expected |?
fundus got: funduses, but expected |fundi
clair de lune got: clair de lunes, but expected |?
puits got: puitses, but expected |puits
masters got: masterses, but expected |masters
morena got: morenas, but expected |?
vis-a-vis got: vis-a-vises, but expected |vis-a-vis
touch-up got: touches-up, but expected 
chalice got: chalice, but expected 
vitiligo got: vitiligoes, but expected 
catch up got: catches up, but expected 
catch-up got: catches-up, but expected 
psych got: psyches, but expected 
exuvia got: exuvias, but expected |exuviae
chips got: chipses, but expected |chips
agnomen got: agnomen, but expected |agnomina
fianchetto got: fianchettoes, but expected |fianchetti
copro got: coproes, but expected 
nitrobacterium got: nitrobacteriums, but expected |nitrobacteria
lean-to got: leans-to, but expected |head=[[lean]]-[[to]]
back-bench got: back-benchs, but expected |es|head=[[back]]-[[bench]]
back-up got: backs-up, but expected 
autocratrix got: autocratrixes, but expected |autocratrices
Lorentz force got: Lorentz forces, but expected |?
Lorentz group got: Lorentz groups, but expected |?
Lorentz transformation got: Lorentz transformations, but expected |?
great-grandchild got: great-grandchilds, but expected |great-grandchildren
anti-hero got: anti-heros, but expected |es
pyrogallic acid got: pyrogallic acids, but expected |?
mastoiditis got: mastoiditises, but expected |mastoiditides
Heinz got: Heinzzes, but expected |es
fess got: fess, but expected |es
gules got: guleses, but expected |?
distro got: distroes, but expected 
champers got: champerses, but expected |champers
fleur-de-lis got: fleur-de-lises, but expected |fleurs-de-lis
kiss of life got: kisses of life, but expected |?
calcaneus got: calcaneuses, but expected |calcanei|calcanea
Ajax got: Ajaxes, but expected |?
coccyx got: coccyxes, but expected |coccyges
pyruvic acid got: pyruvic acids, but expected |?
incus got: incuses, but expected |incudes
stapes got: stapeses, but expected |stapes|stapedes
metacarpus got: metacarpuses, but expected |metacarpi
astragalus got: astragaluses, but expected |astragali
one-drop rule got: one-drop rules, but expected |?
a got: as, but expected |aes
Abo got: Aboes, but expected 
Anglo got: Angloes, but expected 
Apollo got: Apolloes, but expected 
Bd got: Bds, but expected |?
Bio got: Bios, but expected |?
Boogeyman got: Boogeymen, but expected |boogeymen
C. got: C.s, but expected |?
Chassidism got: Chassidisms, but expected |?
Cl got: Cls, but expected |?
Diablo got: Diabloes, but expected 
Fri got: Fris, but expected |?
Johnson got: Johnsons, but expected |?
Ladino got: Ladinoes, but expected 
Lady got: Ladies, but expected |?
Lammas got: Lammases, but expected |?
Latino got: Latinoes, but expected 
Mar. got: Mar.s, but expected |?
Med got: Meds, but expected |?
Moro got: Moroes, but expected 
Ottoman got: Ottomen, but expected 
Pullman got: Pullmen, but expected 
Rd. got: Rd.s, but expected |?
Reich got: Reiches, but expected |?
Rho got: Rhoes, but expected 
Ruby got: Rubies, but expected |?
Sa got: Sas, but expected |?
Sat got: Sats, but expected |?
St. got: St.s, but expected |?
Sun got: Suns, but expected |?
TS got: TSs, but expected |?
Toby got: Tobies, but expected |?
Tonto got: Tontoes, but expected 
V got: Vs, but expected |?
Volvo got: Volvoes, but expected 
Walkman got: Walkmen, but expected 
Wed got: Weds, but expected |?
carpus got: carpuses, but expected |carpi
morocco got: moroccoes, but expected 
sc got: scs, but expected |?
mo got: moes, but expected 
german got: germen, but expected 
metis got: metises, but expected |?
kuri got: kuris, but expected |?
tangelo got: tangeloes, but expected 
ugli got: uglis, but expected |uglies
abas got: abases, but expected |abas
triquetrum got: triquetrums, but expected |triquetra
ms got: mses, but expected 
jan got: jans, but expected |?
heads-up got: headses-up, but expected |head=[[head]]s-[[up]]|heads-up|heads-ups
pelvic arch got: pelvic archs, but expected |es
frappuccino got: frappuccinoes, but expected 
macchiato got: macchiatoes, but expected 
mochaccino got: mochaccinoes, but expected 
preso got: presoes, but expected 
xu got: xus, but expected |xu
prender got: prenders, but expected |?
fortississimo got: fortississimoes, but expected 
epistropheus got: epistropheuses, but expected |?
CDT got: CDTs, but expected |?
gleba got: glebas, but expected |glebae
bordello got: bordelloes, but expected 
hilus got: hiluses, but expected |hili
death futures got: death futureses, but expected |?
colorado got: coloradoes, but expected 
good-by got: goods-by, but expected 
wuffo got: wuffoes, but expected 
Jack Ketch got: Jack Ketchs, but expected |es
herrenvolk got: herrenvolks, but expected |herrenvolker
head-on got: heads-on, but expected 
Kambo got: Kamboes, but expected 
cutis got: cutises, but expected |cutes
endothelium got: endotheliums, but expected |endothelia
Kambuj got: Kambujs, but expected |?
drive-by got: drives-by, but expected 
driveby got: drivebies, but expected 
pharyngitis got: pharyngitises, but expected |pharyngitides
pudendum got: pudendums, but expected |pudenda
mamilla got: mamillas, but expected |mamillae
stop press got: stop presses, but expected |?
hypothalamus got: hypothalamuses, but expected |hypothalami
cubewano got: cubewanoes, but expected 
cease and desist got: cease and desists, but expected |?
injuria got: injurias, but expected |injurie
nephros got: nephroses, but expected |nephros|nephroi
vesica got: vesicas, but expected |vesicae
groupetto got: groupettoes, but expected |groupetti|groupettos
principle of relativity got: principles of relativity, but expected |?
epididymis got: epididymises, but expected |epididymides
povvo got: povvoes, but expected 
ansatz got: ansatzzes, but expected |es|ansatze
Athanasian wench got: Athanasian wenchs, but expected |es
quicunque vult got: quicunque vults, but expected |?
tip-off got: tips-off, but expected |head=[[tip]]-[[off]]
cultural literacy got: cultural literacys, but expected |?
windward got: windwards, but expected |?
americano got: americanoes, but expected 
running flush got: running flushs, but expected |es
taco got: tacoes, but expected 
taquito got: taquitoes, but expected 
secco got: seccoes, but expected 
monte got: montes, but expected |?
friendo got: friendoes, but expected 
fuck up got: fucks up, but expected 
krone got: krones, but expected |kroner
barakah got: barakahs, but expected |?
blech got: bleches, but expected 
impasto got: impastoes, but expected 
da'wa got: da'was, but expected |?
du'a' got: du'a's, but expected |?
'eid got: 'eids, but expected |?
fiqh got: fiqhs, but expected |?
fitnah got: fitnahs, but expected |?
Sunnah got: Sunnahs, but expected |?
muhajir got: muhajirs, but expected |muhajireen|muhajirun
hawaladar got: hawaladars, but expected |?
Assoc got: Assocs, but expected |?
twp got: twps, but expected |?
Hijri got: Hijris, but expected |?
post-rock got: post-rocks, but expected |?|head=[[post]]-[[rock]]
oyez got: oyezzes, but expected |es
Dhul Hijjah got: Dhul Hijjahs, but expected |?
go-between got: goes-between, but expected |head=[[go]]-[[between]]
ijma' got: ijma's, but expected |?
rasul got: rasuls, but expected |?
ra'y got: ra'ys, but expected |?
saum got: saums, but expected |?
nathr saum got: nathr saums, but expected |?
suhur got: suhurs, but expected |?
'umra got: 'umras, but expected |?
scopa got: scopas, but expected |scopae
impro got: improes, but expected 
juice box got: juice boxs, but expected |es
upokororo got: upokororoes, but expected 
comice got: comice, but expected 
comitia got: comitias, but expected |comitia
TBS got: TBSs, but expected |?
DRC got: DRCs, but expected |?
ACTH got: ACTHs, but expected |?
BP got: BPs, but expected |?
GS got: GSs, but expected |?
volte-face got: volte-faces, but expected |?|head=[[volte]]-[[face]]
negotiatrix got: negotiatrixes, but expected |negotiatrices
virgo intacta got: virgo intactas, but expected |?
HQ got: HQs, but expected |?
ARD got: ARDs, but expected |?
cop-out got: cops-out, but expected |head=[[cop]]-[[out]]
LL got: LLs, but expected |?
expo got: expoes, but expected 
boom box got: boom boxs, but expected |es
Prof. got: Prof.s, but expected |?
phlebitis got: phlebitises, but expected |phlebitides
adm. got: adm.s, but expected |?
jejunum got: jejunums, but expected |jejuna
norman got: normen, but expected 
diag got: diags, but expected |?
gingiva got: gingivas, but expected |gingivae
naevus got: naevuses, but expected |naevi
naevus flammeus got: naevus flammeuses, but expected |?
PBPD got: PBPDs, but expected |?
take-off got: takes-off, but expected 
wit. got: wit.s, but expected |?
PTSD got: PTSDs, but expected |?
celsius got: celsiuses, but expected |celsius
walk-on got: walks-on, but expected |head=[[walk]]-[[on]]
take-up got: takes-up, but expected |head=[[take]]-[[up]]
ileitis got: ileitises, but expected |ileitides
MDMA got: MDMAs, but expected |?
Rep. got: Rep.s, but expected |?
Gen. got: Gen.s, but expected |?
MTBE got: MTBEs, but expected |?
Del. got: Del.s, but expected |?
mgmt got: mgmts, but expected |?
brit got: brits, but expected |brit
domino effect got: domino effects, but expected |?
voice-over got: voices-over, but expected |head=[[voice]]-[[over]]
pox got: pox, but expected |es
soc. got: soc.s, but expected |?
tallyho got: tallyhoes, but expected 
aud. got: aud.s, but expected |?
avg. got: avg.s, but expected |?
Med. got: Med.s, but expected |?
dx got: dxes, but expected |?
Thu got: Thus, but expected |?
misd. got: misd.s, but expected |?
Exec. got: Exec.s, but expected |?
auth. got: auth.s, but expected |?
Galliano got: Gallianoes, but expected 
